metric,date,Fraser,Interior,Vancouver Island,Northern,Vancouver Coastal,Total BC
new_cases,7-4-2020,8,0,0,0,17,25
new_cases,6-4-2020,23,0,0,1,14,37
new_cases,1-4-2020,19,7,5,1,21,53
new_cases,20-4-2020,14,2,1,0,6,23
new_cases,2-4-2020,19,7,0,1,28,55
new_cases,3-4-2020,26,5,2,4,16,53
new_cases,27-3-2020,21,8,5,1,32,67
new_cases,26-3-2020,23,16,5,2,20,66
new_cases,30-3-2020,28,8,0,0,34,70
new_cases,24-3-2020,31,1,0,2,44,78
new_cases,25-3-2020,24,5,3,1,9,42
new_cases,31-3-2020,25,13,0,1,4,43
new_cases,8-4-2020,29,2,2,0,12,45
new_cases,15-4-2020,22,5,3,2,12,44
new_cases,14-4-2020,10,5,2,2,8,27
new_cases,9-4-2020,21,0,1,1,11,34
new_cases,16-4-2020,7,3,2,2,0,14
new_cases,17-4-2020,31,1,0,1,10,43
new_cases,23-3-2020,na,na,na,na,na,na
