metric,date,Fraser,Interior,Vancouver Island,Northern,Vancouver Coastal,Total BC
recovered,7-4-2020,249,57,35,9,455,805
recovered,27-4-2020,439,111,81,35,524,1190
recovered,6-4-2020,245,49,34,7,448,783
recovered,24-4-2020,392,102,81,33,506,1114
recovered,30-4-2020,480,146,92,41,563,1322
recovered,1-4-2020,176,27,27,5,371,606
recovered,20-4-2020,372,95,71,30,471,1039
recovered,21-4-2020,372,97,71,30,471,1041
recovered,2-4-2020,192,29,29,7,384,641
recovered,23-4-2020,385,99,80,33,495,1092
recovered,22-4-2020,383,99,76,32,489,1079
recovered,3-4-2020,203,35,31,7,397,673
recovered,8-5-2020,672,165,110,49,583,1579
recovered,7-5-2020,612,162,109,47,582,1512
recovered,6-5-2020,600,160,106,46,582,1494
recovered,4-5-2020,537,157,105,43,575,1417
recovered,5-5-2020,586,158,105,46,577,1472
recovered,27-3-2020,90,13,8,5,159,275
recovered,26-3-2020,5,9,8,5,159,186
recovered,30-3-2020,147,19,24,5,274,469
recovered,24-3-2020,3,8,0,4,158,173
recovered,25-3-2020,3,8,6,5,161,183
recovered,31-3-2020,163,22,26,5,291,507
recovered,8-4-2020,256,60,37,12,473,838
recovered,15-4-2020,338,74,48,22,473,955
recovered,29-4-2020,469,145,90,41,560,1305
recovered,28-4-2020,461,116,86,37,531,1231
recovered,14-4-2020,329,72,47,21,473,942
recovered,9-4-2020,274,60,37,12,473,858
recovered,16-4-2020,341,91,53,25,473,983
recovered,17-4-2020,348,91,58,26,443,966
recovered,23-3-2020,2,8,0,0,136,146
